Site,Name,Lat,Long,Start,End
40093,GYMPIE,-26.1831,152.6414,1965-01-01,2024-07-01
90173,HAMILTON AIRPORT,-37.6486,142.0636,1983-07-01,2024-07-01
33106,HAMILTON ISLAND AIRPORT,-20.3658,148.9536,2002-03-01,2024-07-01
94191,HARTZ MOUNTAIN (KEOGHS PIMPLE),-43.2006,146.7683,1996-02-01,2024-07-01
75019,HAY AIRPORT AWS,-34.5412,144.8345,2007-06-01,2024-07-01
40405,HERVEY BAY AIRPORT,-25.322,152.8817,1999-03-01,2024-07-01
68262,HIGH RANGE AWS (WANGANDERRY),-34.3335,150.267,2014-07-01,2024-07-01
9265,HILLARYS BOAT HARBOUR NTC AWS,-31.8256,115.7386,2013-05-01,2024-07-01
23894,HINDMARSH ISLAND AWS,-35.5194,138.8177,2003-01-01,2024-07-01
94029,HOBART (ELLERSLIE ROAD),-42.8897,147.3278,1893-05-01,2024-07-01
94250,HOBART AIRPORT,-42.8333,147.5119,2017-06-01,2024-07-01
200838,HOGAN ISLAND,-39.2225,146.9841,2003-05-01,2024-07-01
200732,HOLMES REEF,-16.4683,147.8734,1973-09-01,2024-07-01
66161,HOLSWORTHY AERODROME AWS,-33.9925,150.9489,2012-08-01,2024-07-01
68263,HOLSWORTHY DEFENCE AWS,-34.081,150.9009,2017-12-01,2024-07-01
77010,HOPETOUN AIRPORT,-35.7151,142.3569,2004-06-01,2024-07-01
9961,HOPETOUN NORTH,-33.9306,120.1283,1996-01-01,2024-07-01
27058,HORN ISLAND,-10.5844,142.29,1995-03-01,2024-07-01
79100,HORSHAM AERODROME,-36.6699,142.1733,1997-10-01,2024-07-01
67119,HORSLEY PARK EQUESTRIAN CENTRE AWS,-33.851,150.8567,1997-09-01,2024-07-01
30022,HUGHENDEN AIRPORT,-20.8192,144.2333,2001-02-01,2024-07-01
82139,HUNTERS HILL,-36.2137,147.5395,1993-04-01,2024-07-01
32197,INNISFAIL AERODROME,-17.5581,146.0119,2016-06-01,2024-07-01
56018,INVERELL RESEARCH CENTRE,-29.7752,151.082,1965-01-01,2024-07-01
49000,IVANHOE AERODROME AWS,-32.8833,144.3092,2000-02-01,2024-07-01
14198,JABIRU AIRPORT,-12.6592,132.894,1977-11-01,2024-07-01
10905,JACUP,-33.8878,119.1092,1993-08-01,2024-07-01
9172,JANDAKOT AERO,-32.1011,115.8794,1989-02-01,2024-07-01
68151,JERVIS BAY (POINT PERPENDICULAR AWS),-35.0936,150.8049,2001-05-01,2024-07-01
68264,JERVIS BAY NSW (JERVIS BAY AIRFIELD AWS),-35.1439,150.6973,2018-10-01,2024-07-01
15602,JERVOIS,-22.9494,136.1442,1967-12-01,2024-07-01
22050,KADINA AWS,-33.9703,137.6628,2005-07-01,2024-07-01
12038,KALGOORLIE-BOULDER AIRPORT,-30.7847,121.4533,1939-03-01,2024-07-01
1019,KALUMBURU,-14.2964,126.6453,1998-09-01,2024-07-01
79097,KANAGULK,-37.1169,141.8031,2004-05-01,2024-07-01
14982,KANGAROO FLATS (DEFENCE),-12.7934,130.8542,2017-09-01,2024-07-01
74272,KAPOOKA (DEFENCE),-35.1327,147.2512,2017-09-01,2024-07-01
5098,KARIJINI NORTH,-22.2999,118.4498,2018-08-01,2024-07-01
4083,KARRATHA AERO,-20.7097,116.7742,1993-08-01,2024-07-01
10916,KATANNING,-33.6856,117.6064,1999-01-01,2024-07-01
25557,KEITH (MUNKORA),-36.1058,140.3273,2001-07-01,2024-07-01
78018,KELLALAC (WARRACKNABEAL AIRPORT),-36.3203,142.4161,2016-12-01,2024-07-01
59007,KEMPSEY AIRPORT AWS,-31.0711,152.7717,2001-02-01,2024-07-01
91331,KENNAOOK/CAPE GRIM,-40.6764,144.6922,2010-12-01,2024-07-01
72162,KHANCOBAN AWS,-36.2304,148.1405,1997-01-01,2024-07-01
68242,KIAMA (BOMBO HEADLAND),-34.6532,150.8609,2001-12-01,2024-07-01
98017,KING ISLAND AIRPORT,-39.8804,143.8857,1995-06-01,2024-07-01
40922,KINGAROY AIRPORT,-26.5737,151.8398,2001-01-01,2024-07-01
22841,KINGSCOTE AERO,-35.7114,137.5231,1994-05-01,2024-07-01
14988,KNUCKEY LAGOON,-12.4422,130.9556,2021-07-01,2024-07-01
29038,KOWANYAMA AIRPORT,-15.4818,141.7483,1965-11-01,2024-07-01
23887,KUITPO FOREST RESERVE,-35.1712,138.6783,1998-04-01,2024-07-01
94087,KUNANYI (MOUNT WELLINGTON PINNACLE),-42.895,147.2358,1961-03-01,2024-07-01
2056,KUNUNURRA AERO,-15.7814,128.71,1986-03-01,2024-07-01
80091,KYABRAM,-36.335,145.0638,1965-01-01,2024-07-01
39059,LADY ELLIOT ISLAND,-24.1116,152.7161,1957-01-01,2024-07-01
14829,LAJAMANU AIRPORT,-18.3324,130.6361,1967-10-01,2024-07-01
10911,LAKE GRACE,-33.1006,118.4647,1997-06-01,2024-07-01
29181,LAKE JULIUS AWS,-20.1167,139.7256,2013-08-01,2024-07-01
25562,LAMEROO (AUSTIN PLAINS),-35.3778,140.5378,2004-06-01,2024-07-01
9280,LANCELIN (DEFENCE),-30.8392,115.2283,2018-06-01,2024-07-01
92045,LARAPUNA (EDDYSTONE POINT),-40.9928,148.3467,1961-01-01,2024-07-01
91237,LAUNCESTON (TI TREE BEND),-41.4194,147.1219,1980-05-01,2024-07-01
91311,LAUNCESTON AIRPORT,-41.5476,147.2156,2004-07-01,2024-07-01
12305,LAVERTON AERO,-28.6133,122.4236,1991-08-01,2024-07-01
87031,LAVERTON RAAF,-37.8565,144.7565,1941-08-01,2024-07-01
5007,LEARMONTH AIRPORT,-22.2406,114.0967,1975-02-01,2024-07-01
4095,LEGENDRE ISLAND,-20.3583,116.8431,1992-02-01,2024-07-01
17110,LEIGH CREEK AIRPORT,-30.5963,138.4219,1982-05-01,2024-07-01
12314,LEINSTER AERO,-27.8386,120.7031,1994-07-01,2024-07-01
12241,LEONORA AERO,-28.8789,121.3186,2007-02-01,2024-07-01
96033,LIAWENEE,-41.8997,146.6694,2001-01-01,2024-07-01
58214,LISMORE AIRPORT AWS,-28.8305,153.2601,2002-02-01,2024-07-01
35139,LOCHINGTON,-23.9424,147.525,2010-10-01,2024-07-01
28008,LOCKHART RIVER AIRPORT,-12.785,143.3047,1965-01-01,2024-07-01
79028,LONGERENONG,-36.6722,142.2991,1965-01-01,2024-07-01
36031,LONGREACH AERO,-23.4397,144.2828,1966-03-01,2024-07-01
200839,LORD HOWE ISLAND AERO,-31.5421,159.0786,1988-11-01,2024-07-01
91293,LOW HEAD,-41.0547,146.7874,1998-01-01,2024-07-01
31037,LOW ISLES LIGHTHOUSE,-16.3842,145.5592,1967-10-01,2024-07-01
97080,LOW ROCKY POINT,-42.9831,145.5025,1992-03-01,2024-07-01
24024,LOXTON RESEARCH CENTRE,-34.439,140.5978,1984-06-01,2024-07-01
91259,LUNCHEON HILL (FORESTRY),-41.1492,145.1517,1995-09-01,2024-07-01
94041,MAATSUYKER ISLAND LIGHTHOUSE,-43.6578,146.2711,1957-01-01,2024-07-01
33045,MACKAY AERO,-21.1706,149.1794,1950-05-01,2024-07-01
